Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure_ID,Measure_desc,kid_Quantity,kid_Weight_grams,kid_Volume_mLs
F009034,24302,Vegetable products and dishes,"Sweet potato, orange flesh, peeled, fresh, boiled, drained",74960,sweet potato,1.0,292.5,0
F009190,24601,Vegetable products and dishes,"Tomato, cherry, raw",74961,tomato,1.0,8.0,0
F009193,24601,Vegetable products and dishes,"Tomato, common, raw",74962,tomato,1.0,114.0,0
F009211,24601,Vegetable products and dishes,"Tomato, roma, raw",74963,tomato,1.0,93.0,0
F009340,24302,Vegetable products and dishes,"Turnip, white, peeled, fresh, raw",74964,turnip,1.0,91.5,0
F009339,24302,Vegetable products and dishes,"Turnip, white, peeled, fresh, boiled, no added fat",74965,turnip,1.0,87.0,0
F009775,24702,Vegetable products and dishes,"Zucchini, green skin, fresh, unpeeled, raw",74966,zucchini,1.0,146.25,0
F009774,24702,Vegetable products and dishes,"Zucchini, green skin, fresh, unpeeled, fried, no added fat",74967,zucchini,1.0,102.75,0
F009773,24702,Vegetable products and dishes,"Zucchini, green skin, fresh, unpeeled, boiled, drained",74968,zucchini,1.0,123.0,0
F009766,24702,Vegetable products and dishes,"Zucchini, golden, fresh, unpeeled, raw",74969,zucchini,1.0,146.25,0
F009765,24702,Vegetable products and dishes,"Zucchini, golden, fresh, unpeeled, fried, no added fat",74970,zucchini,1.0,146.25,0
