Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure_ID,Measure_desc,kid_Quantity,kid_Weight_grams,kid_Volume_mLs
F006276,16301,Fruit products and dishes,"Orange, navel, peeled, raw",74764,fruit,0.75,162.0,0
F006279,16301,Fruit products and dishes,"Orange, valencia, peeled, raw",74765,fruit,0.75,131.0,0
F006333,16504,Fruit products and dishes,"Passionfruit, raw",74766,fruit,0.75,18.0,0
F006573,16401,Fruit products and dishes,"Peach, yellow, unpeeled, raw",74767,fruit,0.75,145.0,0
F006604,16103,Fruit products and dishes,"Pear, nashi, unpeeled, raw",74768,fruit,0.75,190.0,0
F006628,16503,Fruit products and dishes,"Persimmon, peeled, raw",74769,fruit,0.75,76.0,0
F006708,16505,Fruit products and dishes,"Pineapple, canned in pineapple juice, drained",74770,slice,0.75,40.0,0
F006832,16403,Fruit products and dishes,"Plum, unpeeled, raw",74771,fruit,0.75,66.0,0
F006826,16404,Fruit products and dishes,"Plum, dark, canned in syrup, drained",74772,fruit,0.75,31.0,0
F006842,16504,Fruit products and dishes,"Pomegranate, peeled, raw",74773,fruit,0.75,240.0,0
F007457,16504,Fruit products and dishes,"Prickly pear, peeled, raw",74774,fruit,0.75,86.0,0
F007494,16802,Fruit products and dishes,Prune (dried plum),74775,fruit,0.75,8.0,0
F007591,16105,Fruit products and dishes,"Quince, peeled, raw",74776,fruit,0.75,463.0,0
F007610,16801,Fruit products and dishes,Raisin,74777,box,0.75,40.0,0
F007612,16504,Fruit products and dishes,"Rambutan, raw",74778,fruit,0.75,16.0,0
F008952,16201,Fruit products and dishes,"Strawberry, raw",74779,fruit,0.75,12.0,0
F008983,16801,Fruit products and dishes,Sultana,74780,box,0.75,40.0,0
F009080,16503,Fruit products and dishes,"Tamarillo, peeled, raw",74781,fruit,0.75,71.0,0
F009087,16303,Fruit products and dishes,"Tangelo, peeled, raw",74782,fruit,0.75,115.0,0
F009088,16303,Fruit products and dishes,"Tangerine or tangor, peeled, raw",74783,fruit,0.75,86.0,0
F006830,16804,Fruit products and dishes,"Plum, salted",74784,plum,0.75,1.6,0
F002755,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased frozen, baked, no added fat",74785,nugget,0.75,20.0,0
F002752,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",74786,nugget,0.75,18.0,0
F002752,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased from independent takeaway & fast food chain, fried, undefined oil",74787,strip,0.75,38.0,0
F002751,18903,"Meat, poultry and game products and dishes","Chicken, nugget, purchased from fast food chain, grilled",74788,tender,0.75,40.0,0
F000228,18601,"Meat, poultry and game products and dishes","Bacon, middle rasher, untrimmed, raw",74789,rasher,0.75,64.0,0
F000227,18601,"Meat, poultry and game products and dishes","Bacon, middle rasher, untrimmed, fried, no added fat",74790,rasher,0.75,42.0,0
F000231,18601,"Meat, poultry and game products and dishes","Bacon, shortcut, as purchased without rind, fried, no added fat",74791,rasher,0.75,22.0,0
F001322,18606,"Meat, poultry and game products and dishes","Braised steak & onions, canned",74792,can,0.75,425.0,0
F004025,18502,"Meat, poultry and game products and dishes","Frankfurt, cooked",74793,frankfurt,0.75,25.0,0
F004025,18502,"Meat, poultry and game products and dishes","Frankfurt, cooked",74794,frankfurt,0.75,57.0,0
F004299,18602,"Meat, poultry and game products and dishes","Ham, leg, lean",74795,slice,0.75,25.0,0
F006675,13405,Cereal based products and dishes,"Pie, steak & kidney, canned",74796,can,0.75,425.0,0
F007459,18602,"Meat, poultry and game products and dishes",Prosciutto,74797,slice,0.75,17.4,0
F008112,18501,"Meat, poultry and game products and dishes","Sausage, beef, raw",74798,sausage,0.75,86.0,0
F008106,18501,"Meat, poultry and game products and dishes","Sausage, beef, fried, no added fat",74799,sausage,0.75,79.0,0
F008107,18501,"Meat, poultry and game products and dishes","Sausage, beef, grilled, no added fat",74800,sausage,0.75,77.0,0
F008126,18603,"Meat, poultry and game products and dishes","Sausage, chorizo, uncooked",74801,sausage,0.75,147.0,0
F008125,18603,"Meat, poultry and game products and dishes","Sausage, chorizo, fried, no added fat",74802,sausage,0.75,123.0,0
F009450,18606,"Meat, poultry and game products and dishes","Sausages & vegetables, canned",74803,can,0.75,425.0,0
F009452,18606,"Meat, poultry and game products and dishes","Steak & vegetables, canned",74804,can,0.75,425.0,0
F008233,15501,Fish and seafood products and dishes,"Shark, battered, deep-fried, takeaway outlet",74805,fillet,0.75,67.0,0
F003950,15501,Fish and seafood products and dishes,"Fish, white flesh, battered, packaged frozen, baked, no added fat",74806,fillet,0.75,67.0,0
F003954,15501,Fish and seafood products and dishes,"Fish, white flesh, crumbed, packaged frozen, baked, no added fat",74807,fillet,0.75,67.0,0
F003907,15501,Fish and seafood products and dishes,"Fish, battered or crumbed, from takeaway outlet, deep fried, blended frying fat, ready to eat",74808,fillet,0.75,250.0,0
F003897,15501,Fish and seafood products and dishes,"Fish finger, crumbed, purchased frozen, raw",74809,fish finger,0.75,27.0,0
F003896,15501,Fish and seafood products and dishes,"Fish finger, crumbed, purchased frozen, grilled, no added fat",74810,fish finger,0.75,20.0,0
F007864,15102,Fish and seafood products and dishes,"Salmon, smoked, sliced",74811,slice,0.75,25.0,0
F009285,15401,Fish and seafood products and dishes,"Tuna, canned in brine, drained",74812,can,0.75,70.0,0
F007193,26101,Snack foods,"Potato crisps or chips, plain, salted",74813,bag or packet,0.75,50.0,0
F007193,26101,Snack foods,"Potato crisps or chips, plain, salted",74814,bag or packet,0.75,21.0,0
F007201,26101,Snack foods,"Potato crisps or chips, salt & vinegar flavoured",74815,bag or packet,0.75,45.0,0
F007201,26101,Snack foods,"Potato crisps or chips, salt & vinegar flavoured",74816,bag or packet,0.75,18.5,0
F007204,26101,Snack foods,"Potato straws, French fries, plain",74817,packet/bag,0.75,18.5,0
F009073,26201,Snack foods,"Taco shell, from corn flour, plain",74818,taco shell,0.75,11.0,0
F000279,28102,Confectionery and cereal/nut/fruit/seed bars,"Bar, cherry & coconut centre, dark chocolate-coated",74819,bar,0.75,55.0,0
F000285,28102,Confectionery and cereal/nut/fruit/seed bars,"Bar, coconut cream centre, milk chocolate-coated",74820,bar,0.75,45.0,0
F000296,28103,Confectionery and cereal/nut/fruit/seed bars,"Bar, honeycomb centre, milk chocolate-coated",74821,bar,0.75,50.0,0
F000348,28103,Confectionery and cereal/nut/fruit/seed bars,"Bar, nougat & caramel centre, milk chocolate-coated",74822,bar,0.75,53.0,0
F002929,28101,Confectionery and cereal/nut/fruit/seed bars,"Chocolate, milk",74824,bar,0.75,50.0,0
F002929,28101,Confectionery and cereal/nut/fruit/seed bars,"Chocolate, milk",74823,frog,0.75,15.0,0
F002934,28103,Confectionery and cereal/nut/fruit/seed bars,"Chocolate, milk, fondant or caramel filled",74825,frog/koala,0.75,20.0,0
F002937,28102,Confectionery and cereal/nut/fruit/seed bars,"Chocolate, milk, with dried fruit & nuts",74826,bar,0.75,50.0,0
F002939,28102,Confectionery and cereal/nut/fruit/seed bars,"Chocolate, milk, with nuts",74827,bar,0.75,50.0,0
F002946,28101,Confectionery and cereal/nut/fruit/seed bars,"Chocolate, white",74828,bar,0.75,50.0,0
F003100,28103,Confectionery and cereal/nut/fruit/seed bars,"Confectionery, chocolate centre, sugar-coated",74829,packet,0.75,50.0,0
F004600,27201,Sugar products and dishes,"Jam, berry",74833,packet/sachet,0.75,14.0,0
F004607,27201,Sugar products and dishes,"Jam, stone fruit",74834,packet/sachet,0.75,14.0,0
F004604,27201,Sugar products and dishes,"Jam, plum",74835,packet/sachet,0.75,14.0,0
F005421,27201,Sugar products and dishes,"Marmalade, orange",74836,packet/sachet,0.75,14.0,0
F008777,27204,Sugar products and dishes,"Spread, hazelnut & chocolate flavoured",74837,packet/sachet,0.75,20.0,0
F004380,27102,Sugar products and dishes,Honey,74838,packet/sachet,0.75,14.0,0
F008969,27101,Sugar products and dishes,"Sugar, brown",74840,sachet/packet,0.75,3.0,0
F008973,27101,Sugar products and dishes,"Sugar, raw",74841,sachet/packet,0.75,3.0,0
F004615,27301,Sugar products and dishes,"Jelly, sugar sweetened, all flavours, prepared",74842,tub,0.75,125.0,0
F005213,28401,Confectionery and cereal/nut/fruit/seed bars,"Liquorice, allsorts",74843,piece,No Measurement,No Measurement,No Measurement
F005215,28103,Confectionery and cereal/nut/fruit/seed bars,"Liquorice, chocolate-coated",74832,log,No Measurement,No Measurement,No Measurement
F000144,24402,Vegetable products and dishes,"Artichoke, globe, raw",74844,artichoke,1.0,99.75,0
F000142,24402,Vegetable products and dishes,"Artichoke, globe, boiled, drained",74845,heart/item,1.0,27.0,0
F000141,24402,Vegetable products and dishes,"Artichoke heart, canned in brine, drained",74846,heart/item,1.0,40.0,0
F000155,24402,Vegetable products and dishes,"Asparagus, green, raw",74847,spear,1.0,16.0,0
F000151,24402,Vegetable products and dishes,"Asparagus, green, boiled, drained",74848,spear,1.0,11.0,0
F000149,24402,Vegetable products and dishes,"Asparagus, canned in brine, drained",74849,spear,1.0,13.0,0
F000162,24705,Vegetable products and dishes,"Avocado, raw",74850,avocado,1.0,119.25,0
F000396,24403,Vegetable products and dishes,"Basil, green, raw",74851,bunch,1.0,40.0,0
F001015,24302,Vegetable products and dishes,"Beetroot, fresh, purple, peeled, raw",74852,beetroot,1.0,61.5,0
F001013,24302,Vegetable products and dishes,"Beetroot, fresh, purple, peeled, baked, no added fat",74853,beetroot,1.0,50.25,0
F001014,24302,Vegetable products and dishes,"Beetroot, fresh, purple, peeled, boiled, drained",74854,beetroot,1.0,57.0,0
F001010,24302,Vegetable products and dishes,"Beetroot, canned in brine, drained",74856,slice,1.0,19.0,0
F001301,24201,Vegetable products and dishes,"Bok choy, raw",74857,bok choy,1.0,90.0,0
F001300,24201,Vegetable products and dishes,"Bok choy, fried, no added fat",74858,bok choy,1.0,63.0,0
F001302,24201,Vegetable products and dishes,"Bok choy, steamed",74859,bok choy,1.0,86.25,0
F001905,24202,Vegetable products and dishes,"Broccoli, fresh, raw",74860,floret/piece,1.0,20.0,0
F001904,24202,Vegetable products and dishes,"Broccoli, fresh, microwaved",74861,floret/piece,1.0,19.2,0
F001900,24202,Vegetable products and dishes,"Broccoli, fresh, boiled, drained",74862,floret/piece,1.0,19.2,0
F001899,24202,Vegetable products and dishes,"Broccoli, fresh, baked, no added fat",74863,floret/piece,1.0,16.4,0
F001909,24202,Vegetable products and dishes,"Broccolini, fresh, raw",74864,floret/stalk,1.0,29.0,0
F001908,24202,Vegetable products and dishes,"Broccolini, fresh, boiled, drained",74865,floret/stalk,1.0,19.1,0
F001914,24201,Vegetable products and dishes,"Brussels sprout, fresh, raw",74866,brussel sprout,1.0,19.0,0
F001913,24201,Vegetable products and dishes,"Brussels sprout, fresh, boiled, drained",74867,brussel sprout,1.0,21.0,0
F002239,24705,Vegetable products and dishes,"Capsicum, green, fresh, raw",74868,capsicum,1.0,208.5,0
F002238,24705,Vegetable products and dishes,"Capsicum, green, fresh, fried, no added fat",74869,capsicum,1.0,187.5,0
F002247,24705,Vegetable products and dishes,"Capsicum, red, fresh, raw",74870,capsicum,1.0,183.0,0
F002246,24705,Vegetable products and dishes,"Capsicum, red, fresh, fried, no added fat",74871,capsicum,1.0,203.25,0
F002266,24301,Vegetable products and dishes,"Carrot, baby, peeled, fresh, raw",74872,baby carrot,1.0,18.0,0
F002265,24301,Vegetable products and dishes,"Carrot, baby, peeled, fresh, boiled, drained",74873,baby carrot,1.0,16.7,0
F002263,24301,Vegetable products and dishes,"Carrot, baby, baked, no added fat",74874,baby carrot,1.0,16.6,0
F002276,24301,Vegetable products and dishes,"Carrot, mature, peeled, fresh, raw",74875,carrot,1.0,55.5,0
F002276,24301,Vegetable products and dishes,"Carrot, mature, peeled, fresh, raw",74876,carrot,1.0,96.75,0
F002274,24301,Vegetable products and dishes,"Carrot, mature, peeled, fresh, baked, no added fat",74877,carrot,1.0,79.5,0
F002275,24301,Vegetable products and dishes,"Carrot, mature, peeled, fresh, boiled, drained",74878,carrot,1.0,90.0,0
F002378,24202,Vegetable products and dishes,"Cauliflower, fresh, raw",74879,floret,1.0,36.0,0
F002377,24202,Vegetable products and dishes,"Cauliflower, fresh, boiled, drained",74880,floret,1.0,35.0,0
F002384,24302,Vegetable products and dishes,"Celeriac, peeled, raw",74881,celeriac,1.0,190.5,0
F002390,24402,Vegetable products and dishes,"Celery, fresh, raw",74882,stalk,1.0,40.0,0
F002389,24402,Vegetable products and dishes,"Celery, fresh, fried, no added fat",74883,stalk,1.0,36.0,0
F002896,24705,Vegetable products and dishes,"Chilli (chili), green, raw",74884,chilli,1.0,15.0,0
F002894,24705,Vegetable products and dishes,"Chilli (chili), green, fried, no added fat",74885,chilli,1.0,12.0,0
F002901,24705,Vegetable products and dishes,"Chilli (chili), red, raw",74886,chilli,1.0,15.0,0
F002900,24705,Vegetable products and dishes,"Chilli (chili), red, fried, no added fat",74887,chilli,1.0,12.0,0
F002949,24705,Vegetable products and dishes,"Choko, peeled, fresh, raw",74888,choko,1.0,126.0,0
F002948,24705,Vegetable products and dishes,"Choko, peeled, fresh, boiled, drained",74889,choko,1.0,105.75,0
F003192,24403,Vegetable products and dishes,"Coriander, fresh, leaves & stems",74890,bunch,1.0,40.0,0
F003209,24704,Vegetable products and dishes,"Corn, fresh on cob, raw",74891,ear (corn),1.0,122.25,0
F003200,24704,Vegetable products and dishes,"Corn, fresh on cob, boiled, drained",74893,cobette,1.0,39.0,0
F003200,24704,Vegetable products and dishes,"Corn, fresh on cob, boiled, drained",74892,ear (corn),1.0,117.0,0
F003321,24705,Vegetable products and dishes,"Cucumber, Lebanese, unpeeled, raw",74894,cucumber,1.0,130.5,0
F003324,24705,Vegetable products and dishes,"Cucumber, telegraph, unpeeled, raw",74895,cucumber,1.0,218.25,0
F003761,24705,Vegetable products and dishes,"Eggplant, unpeeled, fresh, raw",74896,eggplant,1.0,344.25,0
F003760,24705,Vegetable products and dishes,"Eggplant, unpeeled, fresh, grilled, no added fat",74897,eggplant,1.0,320.25,0
F003759,24705,Vegetable products and dishes,"Eggplant, unpeeled, fresh, baked, no added fat",74898,eggplant,1.0,247.5,0
F004206,23202,Savoury sauces and condiments,"Gherkin, pickled, drained, commercial",74899,whole,0.75,25.0,0
