Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure ID,Quantity,Measure_desc,Weight_grams,Volume_mLs
F006667,13405,Cereal based products and dishes,"Pie, savoury, meat, purchased frozen, baked",74689,1,pie,38,0
F008098,13405,Cereal based products and dishes,"Sausage roll, commercial, ready to eat",74692,1,sausage roll,130,0
F008098,13405,Cereal based products and dishes,"Sausage roll, commercial, ready to eat",74691,1,sausage roll,40,0
F008101,13405,Cereal based products and dishes,"Sausage roll, purchased frozen, baked",74693,1,sausage roll,40,0
F008101,13405,Cereal based products and dishes,"Sausage roll, purchased frozen, baked",74694,1,sausage roll,130,0
F008794,13406,Cereal based products and dishes,"Spring roll, meat & vegetable filling, commercial, deep fried",74695,1,roll,30,0
F008794,13406,Cereal based products and dishes,"Spring roll, meat & vegetable filling, commercial, deep fried",74696,1,roll,70,0
F006679,13402,Cereal based products and dishes,"Pie, sweet, apple, commercial",74697,1,pie,125,0
F009102,13403,Cereal based products and dishes,"Tart, custard, commercial",74698,1,tart,135,0
F008065,23103,Savoury sauces and condiments,"Sauce, soy, commercial",74699,1,plastic fish,3,0
F008083,23104,Savoury sauces and condiments,"Sauce, tomato, commercial",74700,1,packet/sachet,14,0
F008085,23104,Savoury sauces and condiments,"Sauce, tomato, commercial, reduced salt",74701,1,packet/sachet,14,0
F002414,19401,Milk products and dishes,"Cheese, cheddar, natural, regular fat",74702,1,slice,21,0
F002413,19402,Milk products and dishes,"Cheese, cheddar, natural, reduced fat (approximately 25%)",74703,1,slice,21,0
F002412,19402,Milk products and dishes,"Cheese, cheddar, natural, reduced fat (approximately 15%)",74704,1,slice,21,0
F002428,19406,Milk products and dishes,"Cheese, cheddar, processed, regular fat",74705,1,slice,21,0
F002425,19407,Milk products and dishes,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D",74706,1,slice,21,0
F002444,19403,Milk products and dishes,"Cheese, cream, plain",74707,1,tub,40,0
F004508,19501,Milk products and dishes,"Ice cream, vanilla flavour, regular fat",74708,1,cup/tub,127,0
F003488,19701,Milk products and dishes,"Dairy or yoghurt dessert, chocolate, regular fat",74709,1,tub/container,150,0
F009694,19201,Milk products and dishes,"Yoghurt, natural, regular fat (3% fat)",74710,1,tub/container,200,0
F009741,19205,Milk products and dishes,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",74711,1,tub/container,100,0
F009741,19205,Milk products and dishes,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",74712,1,tub/container,200,0
F009749,19205,Milk products and dishes,"Yoghurt, vanilla flavoured, (2% fat)",74713,1,tub/container,175,0
