Public_Food_Key,Food_Survey_ID,Food_Name,"Energy, with dietary fibre","Energy, without dietary fibre",Moisture (water),Protein,Total_Fat,Alcohol,Total sugars,Added sugars,Calcium (Ca),Sodium (Na),Vitamin C,Vitamin E
F001360,12207,"Bread roll, from wholemeal flour",1095,1048,32.5,10.1,3,0,3,0,90,560,0,0.96
F001360,12207,"Bread roll, from wholemeal flour",1095,1048,32.5,10.1,3,0,3,0,90,560,0,0.96
F001364,12207,"Bread roll, from wholemeal flour, toasted",1288,1233,20.6,11.9,3.5,0,3.5,0,106,659,0,1.07
F001364,12207,"Bread roll, from wholemeal flour, toasted",1288,1233,20.6,11.9,3.5,0,3.5,0,106,659,0,1.07
F001545,12203,"Bread, from white or wholemeal flour, organic",1034,989,39.6,11.6,2.9,0,1.3,0,48,490,0,2.85
F001548,12203,"Bread, from white or wholemeal flour, organic, toasted",1216,1164,29,13.7,3.4,0,1.5,0,56,576,0,3.18
F001621,12204,"Bread, mixed grain",1047,993,37.6,11.2,5,0,1.8,0,95,423,0,2.5
F001644,12204,"Bread, mixed grain, toasted",1232,1168,26.6,13.1,5.9,0,2.2,0,112,498,0,2.8
F001513,12204,"Bread, from white flour, extra grainy & seeds",1114,1066,33.2,10.4,4.6,0,2.5,0,62,372,0,1.4
F001514,12204,"Bread, from white flour, extra grainy & seeds, toasted",1310,1254,21.4,12.2,5.4,0,2.9,0,72,437,0,1.57
F001365,12204,"Bread roll, mixed grain",1027,983,35.8,11.1,3,0,2.3,0,160,660,0,1.67
F001368,12204,"Bread roll, mixed grain, toasted",1209,1156,24.5,13.1,3.5,0,2.7,0,188,776,0,1.86
F001457,12305,"Bread, from white flour, added dried fruit",1151,1129,36,8.3,3.9,0,15,1,45,190,0,0.39
F001458,12305,"Bread, from wheat flour, added dried fruit, toasted",1279,1254,28.9,9.2,4.3,0,16.7,1.1,50,211,0,0.41
F001600,12307,"Bread, garlic or herb, commercial, cooked",1401,1376,28.6,8.4,15.5,0,3.6,0,101,664,1,1.53
F001603,12213,"Bread, gluten free",888,857,45.6,5.5,3.9,0,2.6,0,50,526,0,2.48
F001609,12213,"Bread, gluten free, toasted",1057,1020,35.2,6.5,4.6,0,3.1,0,60,626,0,2.8
F001450,12210,"Bread, from rye flour, sour dough",980,939,37.1,9.2,1.6,0,2,0,32,510,0,0.18
F001451,12210,"Bread, from rye flour, sour dough, toasted",1153,1104,26,10.8,1.9,0,2.4,0,38,600,0,0.2
F001939,12306,"Bun, sweet, with dried fruit, iced",1194,1179,32,6.4,6,0,17.3,10.2,18,267,0,0.58
F003313,13606,"Crumpet, from white flour, toasted",851,823,45,5.1,0.8,0,1.9,0,92,1051,0,0.07
F005896,12301,"Muffin, English style, from white flour",938,906,42.7,10.1,2.1,0,1.7,0,170,418,0,0.01
F005898,12301,"Muffin, English style, from white flour, toasted",1019,984,37.7,11,2.3,0,1.8,0,185,454,0,0.01
F005897,12301,"Muffin, English style, from white flour, added dried fruit, toasted",1037,1001,35,9.8,2,0,10.3,1.3,169,392,0,0.04
F001688,11805,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca",320,313,81.9,3.1,1.5,0,7,2,148,49,0,2.23
F001374,13303,"Bread, banana",1224,1212,30.8,5.7,11,0,25.1,21.7,41,360,0,3.2
